rate,review_text,object_address,cleaned_text,sentiment,pos_reviews_terms
4,Toujours très bien reçu surtout celle avec les cheveux violet 😁 …,"5 Rue de Quimper, 68100 Mulhouse",bien cheveux violet,1,[]
5,"Bonjour, En bref, le personnel fait son travail, il répond au questions,trouve des solutions aux problèmes Ils sont sincèrement impliqués. Donc,rien à dire!!!","5 Rue de Quimper, 68100 Mulhouse",bonjour bref personnel travail question solution problème rien,1,['problèm']
4,"Tout le monde est top (agents comme public), le moins c'est l'ascenseur qui ne marche pas.","5 Rue de Quimper, 68100 Mulhouse",monde agent public ascenseur,1,"['agent', 'public', 'ascenseur']"
5,Nouveau bâtiment avec de la place sur le parking a 5 min des arrets de tram,"5 Rue de Quimper, 68100 Mulhouse",bâtiment place parking min arret,1,"['place', 'parking']"
5,Ma Future 2eme maison,"5 Rue de Quimper, 68100 Mulhouse",future 2eme maison,1,[]
5,Beautiful,"5 Rue de Quimper, 68100 Mulhouse",beautiful,1,[]
5,Super,"5 Rue de Quimper, 68100 Mulhouse",nan,1,[]
5,La service parfait.,"5 Rue de Quimper, 68100 Mulhouse",service,1,[]
4,"Le lieu n'est pas forcément agréable mais les hôtesses et hôtes d'accueil sont très disponibles et serviable, l'espace est grand en open space se qui n'est pas forcément agréable si on ne veut pas que les autres personnes entendent. Le personnel est compétent,j'y suis allé le matin car l'après midi inutile de se déplacer car c'est sur rdv.","7 Rue Jean Fougerat, 16000 Angoulême",lieu agréable hôtesse hôte accueil disponible serviable espace grand open space forcément agréable entendre personnel compétent matin midi inutile rendez-vous,1,"['agréable', 'disponible', 'serviable', 'grand', 'open', 'spac', 'entendre', 'inutile']"
3,Pas d'une très grande aide mais mon conseillé ( Matthieu Porcheron ) est très agréable et compréhensif,"7 Rue Jean Fougerat, 16000 Angoulême",grand aide conseillé matthieu porcheron agréable compréhensif,1,"['grand', 'aide', 'agréable', 'compréhensif']"
3,L'établissement est jolie avec beaucoup d'espace. Malheureusement avec les travaux actuels il est difficile de trouver une place de parking gratuite. J'ai dû me garer au centre commercial champ de mars à proximité où les places étaient payantes.,"7 Rue Jean Fougerat, 16000 Angoulême",établissement beaucoup espace malheureusement travail actuel difficile place parking gratuit centre commercial champ mars proximité place,1,"['travail', 'actuel', 'place', 'parking', 'centre', 'commercial', 'champ', 'mars', 'plac']"
5,"Dommage pas de parking à proximité, uniquement dans la rue ou souterrain. Bizarre pour la maison de l'emploi, car payant partout. Bel intérieur clair et propre. Le matin accès libre et l'après-midi sur rendez vous. N'y allez pas si pas de rendez-vous. 2 Personnes vu pour l' info CSP très bien et compétentes.","7 Rue Jean Fougerat, 16000 Angoulême",dommage parking proximité uniquement rue souterrain bizarre maison emploi partout intérieur clair propre matin accès libre après-midi rendez rendez-vous info csp bien compétent,1,"['parking', 'intérieur', 'libre']"
5,Très bonne accueil Conseillé à l'écoute. Aide pour me faire un CV Agréablement surprise,"7 Rue Jean Fougerat, 16000 Angoulême",bon accueil écoute aide agréablement surprise,1,"['bon', 'accueil', 'écout', 'surprise']"
5,👍👍👍 …,"11 Rue Pelée, 75011 Paris",nan,1,[]
5,"Très bon accueil. Très bon service.👍. Ma conseillère a été à mon écoute , elle a répondu à toutes mes questions, et elle m'a donné de précieux conseils👍. Merci beaucoup à ma conseillère, et à toute l'équipe de pôle emploi 🙏 …","11 Rue Pelée, 75011 Paris",bon accueil bon service. conseiller écoute question précieux conseil beaucoup conseiller équipe pôle emploi,1,"['bon', 'bon', 'écout', 'précieux', 'conseil', 'conseiller', 'emploi']"
4,"Bonjour, Je ne comprends pas les avis négatifs. Perso  j'ai été très bien reçu et ma conseillère m'a donné des conseils très utiles pour le financement de ma formation. Encore merci à Mme Coulibaly pour ses conseils utiles.","11 Rue Pelée, 75011 Paris",bonjour avis négatif perso bien conseiller conseil utile financement formation mme coulibaly conseil utile,1,"['négatif', 'conseiller', 'utile', 'financement', 'mme', 'utile']"
5,"Accueil irréprochable, conseillers à l'écoute. Je recommande.","11 Rue Pelée, 75011 Paris",accueil irréprochable conseiller écoute,1,"['accueil', 'irréprochable', 'écoute']"
3,"J'ai étais très satisfaite , j'en suis tombé sur deux personnes très serviable. Chose qui est rare. Par contre pas de place de stationnement","11 Rue Pelée, 75011 Paris",tomber serviable chose contre place stationnement,1,['serviable']
3,Je suis actuellementJe suis actuellement mes droitsTu me permettait,"11 Rue Pelée, 75011 Paris",actuellementj actuellement droitstu,1,['droitstu']
5,"Super accueil, on y est bien et les gens sont très sympa, je recommande, hâte de revenir.","11 Rue Pelée, 75011 Paris",accueil bien sympa hâte,1,"['sympa', 'hât']"
5,"Équipe serviable, sympathique, conseiller à l'écoute","11 Rue Pelée, 75011 Paris",équipe serviable sympathique écoute,1,"['serviable', 'sympathique', 'écout']"
5,Très agréable,"11 Rue Pelée, 75011 Paris",agréable,1,[]
5,"Je suis passé ce matin suite à un rendez-vous manqué. Bâtiment dans un très bon état, extrêmement bien indiqué, pas 1 min de queue, mon problème a été réglé en 5 mins. Ravi de savoir qu’à Bayonne dispose d’un Pôle Emploi digne de ce nom.","42 Bd du BAB, 64100 Bayonne",matin suite rendez-vous bâtiment bon état extrêmement bien min queue problème minute ravi bayonne dispose pôle emploi digne nom,1,"['rendez-vous', 'bon', 'queue', 'problèm', 'minute', 'ravir', 'bayonn', 'emploi', 'digne']"
