;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement
25;nXfu4Roq2S;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIGNE-PE;;DIGNE-PE;PAC0130;;TkkOwbToAT;DTD ALPES 04-05-PE;;;4000;DIGNE LES BAINS;France;;;;;;Oui;VBk7hCR4zw;com04070;dep04;reg93;arr04070
27;tt7bT96LE5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIJON EST-PE;;DIJON EST-PE;BFC0067;;bBC9T5Ut3T;DTD 21 COTE-D'OR-PE;;;21800;QUETIGNY;France;;;;;;Oui;VBk7hCR4zw;com21515;dep21;reg27;arr21515
29;BHrt6vLI3S;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIJON SUD-PE;;DIJON SUD-PE;BFC0052;;bBC9T5Ut3T;DTD 21 COTE-D'OR-PE;;;21016;DIJON;France;;;;;;Oui;VBk7hCR4zw;com21231;dep21;reg27;arr21231
59;efwAJMVHZb;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES CENTRE-PE;;RENNES CENTRE-PE;BRE0076;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35069;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
61;5TW1qnN0b7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES EST-PE;;RENNES EST-PE;BRE0081;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35067;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
63;JBzLBphiLt;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES NORD-PE;;RENNES NORD-PE;BRE0070;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35706;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
75;MQtkGFl1mR;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RIVIERE SALEE-PE;;RIVIERE SALEE-PE;MAR0008;;uUWTMLGNti;DTD NORD-SUD-PE;;;97215;RIVIERE SALEE;France;;;;;;Oui;VBk7hCR4zw;com97221;dep972;reg02;arr97221
79;zRjqp8Rv4p;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMANS SUR ISERE-PE;;ROMANS SUR ISERE-PE;ARA0261;;nnKTMLOmxL;DTD DROME-PE;;;26105;ROMANS SUR ISERE;France;;;;;;Oui;VBk7hCR4zw;com26281;dep26;reg84;arr26281
81;xlSzmkrXJ0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMILLY-SUR-SEINE-PE;;ROMILLY-SUR-SEINE-PE;GRE0062;;tJyjD6gKDm;DTD AUBE-HAUTE-MARNE-PE;;;10105;ROMILLY SUR SEINE;France;;;;;;Oui;VBk7hCR4zw;com10323;dep10;reg44;arr10323
83;pCCqDWOhU0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMORANTIN-LANTHENAY-PE;;ROMORANTIN-LANTHENAY-PE;CEN0046;;MMuAC8TYJj;DTD PAYS DE LA SALAMANDRE 2019-PE;;;41200;ROMORANTIN LANTHENAY;France;;;;;;Oui;VBk7hCR4zw;com41194;dep41;reg24;arr41194
87;tfpGhjujFz;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROSNY-SOUS-BOIS-PE;;ROSNY-SOUS-BOIS-PE;IDF0262;;Ri09n8wiF7;DTD 93 SEINE-SAINT-DENIS EST-PE;;;93110;ROSNY SOUS BOIS;France;;;;;;Oui;VBk7hCR4zw;com93064;dep93;reg11;arr93064
89;5d8tqZ8cGv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN MAROMME-PE;;ROUEN MAROMME-PE;NOR0093;;Fmr3inUAWQ;DTD ROUEN-PE;;;76153;MAROMME;France;;;;;;Oui;VBk7hCR4zw;com76410;dep76;reg28;arr76410
91;sfIs71PW6K;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN QUEVILLY-PE;;ROUEN QUEVILLY-PE;NOR0103;;Fmr3inUAWQ;DTD ROUEN-PE;;;76123;LE GRAND QUEVILLY;France;;;;;;Oui;VBk7hCR4zw;com76322;dep76;reg28;arr76322
93;UGaUu6PNnD;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN SAINT SEVER-PE;;ROUEN SAINT SEVER-PE;NOR0090;;Fmr3inUAWQ;DTD ROUEN-PE;;;76175;ROUEN;France;;;;;;Oui;VBk7hCR4zw;com76540;dep76;reg28;arr76540
104;vgesSdHxbB;POLE EMPLOI;DTD POLE EMPLOI;DIRECTION DELEGUEE DE LA PRODUCTION-PE;;DIRECTION DELEGUEE DE LA PRODUCTION-PE;OCC1054;;39M46DoiF4;DT 34 HERAULT-PE;;;34967;MONTPELLIER;France;;;;;;Oui;XPvSnOu32K;com34172;dep34;reg76;arr34172
109;51XVKWRjcw;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SABLE SUR SARTHE-PE;;SABLE SUR SARTHE-PE;PDL0043;;M9sZlavnA7;DTD MAYENNE SUD-SARTHE-PE;;;72300;SABLE SUR SARTHE;France;;;;;;Oui;VBk7hCR4zw;com72264;dep72;reg52;arr72264
123;6OO48AYcqK;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT CHAMOND-PE;;SAINT CHAMOND-PE;ARA0233;;Mz6N7jMgMk;DTD LOIRE-PE;;;42403;SAINT-CHAMOND;France;;;;;;Oui;VBk7hCR4zw;com42207;dep42;reg84;arr42207
