,name,date,rate,review_text,object_name,object_address,overall_rating,review_num,object_url
0,Anna Pronina,6 years ago,5,Perfect service! The team is so professional. Everything is bright new in this building,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
1,Alexandre NGUYEN VAN TY,2 months ago,1,"Inadmissible et honteux tout simplement. Attente pendant 1h après l'heure du rdv, tout ça pour qu'on me dise que le rdv était annulé mais qu'ils avaient ""oublié"" de me prévenir ?! Comment est-ce possible alors que c'est censé être votre …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
2,Down Me,4 months ago,2,Accueilli par une personne féminine d'un âge certain très désagréable qui s'exprime mal et s'agace après une mauvaise compréhension. Certainement une ancienne bergère qui n'a pas l'habitude de gérer des personnes civilisées. Conseillers et dirigeants très bien,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
3,Hassan Bashir,2 weeks ago,1,"Je suis Hassan Bashir, j'ai besoin de rendez-vous, s'il vous plaît, j'ai un problème avec mon dossier.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
4,Caroline Av,a year ago,1,"De loin la pire agence.
D'une incompétence sans nom.
Mon indemnisation a été bloquée sans raison pendant deux mois et ils ont …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
5,Bron Laurence Sylvie (Bertille Demelet),3 months ago,4,"Je suis allée à une réunion collective au Pôle Emploi Brancion,
et j'étais dans une partie des locaux après le numéro 10, dans l'amphithéâtre.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
6,Teddy Nonthaveth,a year ago,2,"Côté Spectacle, hormis la manageuse qui connait son travail, le reste de l'équipe et la structure est totalement incompatible avec le fonctionnement du métier d'artiste. …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
7,Daduriaan,2 years ago,5,"J'ai passé un entretien avec un conseiller pôle emploi avec qui cela s'est très bien passé. Conseiller très aimable, à l'écoute et qui a eu des conseils et un discours adaptés à ma situation. Merci M. Da Costa ! …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
8,A “AdG” dG,a year ago,1,Aujourd'hui des personnes sans compétence ont la main mise sur nos DROITS... Les services pôle emploi sont infectes et nuls !!! Je vais devoir passer par le défenseur des droits pour pouvoir ouvrir mes droits... Fatigant,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
9,Pauline Lscn,3 years ago,1,"Très mauvaise expérience auprès d'un conseiller impoli, un peu trop ""à l'aise"" dans ses propos, incompréhensif, s'exprimant avec un ton dédaigneux comme j'ai rarement vu auparavant. …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
10,TheRecipe Since1991,2 years ago,1,"le pire entretien téléphonique de toute ma vie c'est la première fois qu'une administration me raccroche au nez pourtant tout se passé très bien j'avais de bons ""conseils"" venant d'une soi-disant ""conseillère"" et soudain ! énervement total …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
11,Famille LE JAN PUJANA,3 years ago,4,"Gros à priori sur l’administration / bureaucratie française.... force est de constater que ce fut rapide, efficace, presque agréable compte tenu des circonstances. Merci à mon conseiller Pierre Yves ce matin qui fut sympathique, empathique, …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
12,Badgal,4 years ago,1,"Nul. Changement de conseillers après chaque entretiens, 1 mois d’attente entre chaque rdv, la psychologue du travail vous refuse l accès à la formation car elle juge que vous avez « trop de problèmes »! Ils se couvrent tous entres eux, …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
13,angela merkel,6 years ago,2,"1 ou 2 personnes à l accueil général sont complétement mal lunés , je me plains d une annonce qu'ils m ont envoyé et qui ne correspond en rien à mes compétences , ils me menacent avec des phrases toutes faites du type : il est temps de …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
14,Léa V,4 years ago,1,"Comme il est mentionné ci-dessous, un vrai changement est notable (et celui-ci est très négatif) depuis cette année 2019.. j'ai rarement été aussi mal reçue pour un appel où, si la personne a décroché après quelques minutes d'attentes, celle-ci me fait patienter ""quelques instants"" : des instants qui ont duré 20 grosses minutes...",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
15,Soso De Stras,5 months ago,5,Accueil professionnel . Ont répondu à mes questions.,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
16,Elyo Salloum,4 years ago,1,"Un accueil sans précédent au téléphone. Ne les dérangez surtout pas si vous avez besoin d’un renseignement, cela dépendra de leur humeur. J’espère qu’après ma demande, je n’aurai plus affaire à eux. Calamiteux.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
17,Andalusia 814 BC,a year ago,1,"C’est une honte! Que du bricolage, j’en ai jamais vu, ils sont du mauvaise humeur tout le temps, que des amateurs, et ils sont racistes en plus, je suis obligé de donner une étoile.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
18,saajid mohamed,5 years ago,1,"Bonjour
Je suis désoler pour ce commentaire mais c’est vrai que le pôle emploi de Brancion est très désagréable au niveau de personnelle et aussi concentration de …",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
19,Florent c,4 years ago,1,Agence nulle. Le personnel est incompétent et indisponible. Il ne répond ni aux mails ni aux appels téléphoniques. Une conseillère m'a même avoué qu'il ne fallait pas donner les justificatifs papiers en agence car les papiers sont perdus.,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
20,jul,6 years ago,1,Pas possible de déposer un dossier après 13h.. Fermé le vendredi. À part ça ils vous mettent la pression... Ridicule...,Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
21,Joel Nobre Ferreira,6 years ago,5,"Très propre, organisé, sécurisée. Acceuill très sympa. Délai d'attente favorable. Rien à dire . 5*",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
22,Élisée Siqueira,4 years ago,5,"Bonjour,  tout le monde !
Je cherche un emploi en France .
Je parle plusieurs langues, je suis Brésilien.
Merci d'avance !",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
23,julien V,5 years ago,3,"Contact téléphonique à revoir 30min d'attente.

Rdv avec conseiller améliorer mais reste simpliste.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
24,L V,2 years ago,5,"Une équipe très efficace, on sort des clichés.",Pôle emploi,Pole emploi Brancion,2.8,62,https://www.google.com/maps/
