object_address,preprocessed_text
"0 Rue Olympe de Gouges, 45300 Pithiviers",tentatives rdv phonique heure rdv valid internet communication tr urgente relative cr ation entreprise r sultat courrier signalement avant radiation non pr sentation rdv agence attends tjrs appel heureusement renumer p emploie travaille ouvert soci gr p emploi non plus apr appel phonique nouvelle conseill re personne extr mement sagr able odieuse permettant faire r flexions apr quelques minutes expliquer tail formation r torque oui donc maintenant cout explications bien sagement rest bouche b e oubliais galement fait faire rouspeter comme enfant bas ge parce tais encore inscrite pendant formation inadmissible manquerai faire remonter comportement personnes plus comp tentes changer secteur madame si cela convient visite improvis e lundi h poste mardi h sans changer trottoir accueil agr able r ponse temps heure lai tude dossier rapide indemnis sans aucun souci tout er chaque mois apr actualisation quipe dynamique cordial coute bien re diriger selon comp tences conclusion jamais autant appr cier p emploi peu temps passait toujours incomp tents gros probl organisation timing courtoisie r gions dois dire grand bravo cette quipe remerci plus tr motivant agr able retrouver voie travail top continuer num ro phone totalement inutile renvoie quel int r fournir num ro agence souhaite joindre si tre rediriger syst matiquement vers plateforme scandaleux aucun conseill sign bout mois dossier trait incomp tents apparemment pitoyable accueil tr agr able part dossier tait jour voir conseill re attendre mois lol beaucoup trop monde salle attente assez personnelle aider parking trop petit garer pratiquement aucune aide veulent fermer missions local aceuil rapide trop attendre personnelles a auteur bien gentil probl merci tr bon accueil peu attente bien zone o a panneau conseill re sagr able phone
"1 A Rue du Clos Jeune, 25500 Morteau",nul agence sans int r radiation suite non pr sentation jamais re u ailleurs attends toujours avoir conseiller vu autres avis voit bien int r porte personnes cherchent travail part voulais suivre formation quand expos projet a r pondu seul rdv ohlala si vite conseiller va g rer a coups tait a a re u grave paye quand impossible modifier claration conseiller toujours voir jamais a coute tr fort baser claration voulons leurs faire modifier leurs service impossible capable baser fiche paie a transmis vraiment nul incoh rence entre conseillers application agence ferm a h incroyable sans aucun mots excuse a entr e signaler leurs fermetures potentiellement exceptionnelle bient chomage aussi jamais rendez phonique encore moins physique conseill fant retrouv e travail propres moyens sans passer vais tout faire jamais retourner cette agence morteau aident trouver emploi suivi rien fonctionne dedans conseiller incapable aider retrouver emploi branche r clamer reprise emploi apr ch mage mois vient sous peine poursuite impossible talonner bref servez malheureusement a grand chose agence morteau aucune chance obtenir rendez pr sentiel conseiller injoignable phone o changement conseiller tout mois radiation semble tre seule motivation service public conseiller aur lien vernoit a beaucoup aid a toujours tr avenant souhaite tous demandeurs emploi val morteau avoir tr mauvais acceuil viens inscrire suite a licenciement dis droit a indemnisation viens uniquement toucher argent retrouv sans ressources car a mal renseign durant mois plus retrouv emploi bout mois certainement gr a vraiment tr p nible a toujours changements conseillers
"1 All. des Citronniers, 44000 Nantes",ch mage depuis avril impossibilit travailler actuellement raisons sant ancien employeur a mis beaucoup temps transmettre dossier agence p emploi apr multiples relances part a a fait vendredi dernier cet apr midi monsieur agence sainte luce a appel e pr venir vais tre indemnis e r tro activement aujourd hui tellement contente remercie personnes charge dossier rapidit travail ainsi personne a annonc bonne nouvelle aimables comme portes prison surtout sortir leurs habitudes aucun respect vie priv e entend tout demande parler plus fort comme cette gamine arrogante a fait r flexion accueil amusant affiche annonce service gens faut respect crit gras personnes tr juv niles mal lev comp tentes direction a recrut gens comprend mieux pourquoi professionnels plaignent envoie demandeurs font affaire finissent brouiller bouche oreille toiles lamentable comme contraint mettre moins toile tournent plut alentours bravo continuez plusieurs fois contacter probl dossier toujours sauf fois accueilli mani re tr agressive alors tais jamais aucunes solutions trouv trouve domage professionnels contact public fragilis aussi prisant envers personnes sens aider re ue h personne accueil tr bienveillante professionnelle a parfaitement renseign e sans porter jugement situation remercie car vraiment appr ciable quand situation difficile pole emplois encore frapp mois essaie avoir allocs a chaque fois manque papier envoie disent bon re ois jamais rien sans aucunes explications question quoi sert p emploi quitte emplois plus rdv plein milieux aprem rdv attend impatience semble important projet dame discute collegue demande accueil signaler nouveau pr sence aucune r action conseill res discutent toujours elles arrive finalement min retard rdv exp ditif sert rien viens avoir informations formation reconversion possibilit offre lais financements ect a savoir amont email expliquant situation projet a tait transmis semaines avant environ commencez demarches cherchez formation rappel email attentes rdv ho sais sp cialiste renseignez internet faire cherches comprends a quoi sert genre accompagnement rendez servent rien a croire quotas rdv remplir dit savez fait placer rien meilleur pire cas tente caser formations con faire baisser ch mage vais demain rendez merci itin raire lieu sert rien trouv cdi sans aide leurs part puisqu savent aider lors rendez conseils digne maternelle limite si vont apprendre faire cv bref si temps perdre venez ici thermos caf unfortunately there is no care for it personnel tr acceuillant a borne enregistrer identifiant nom pr nom matin entr e libre apr midi rdv a pc imprimantes scanners disposition personnel disponible accueil tr gligeable personne accueil prend gens haut pensant fait tous jours cas tout monde heureusement tomb suite jeune homme tr gentil a accompagn marche actualisation premi re toile gratuite avis concerne syst global dossier perdu conseiller injoignable site conne horaires hotline grosse blague tr bien re u bon accueil bien renseign personnel aimable professionnel attente bien accompagn ete recu rdv conseillere etait tres professionnelle humaine sens assist e r ellement cela rassure beaucoup bonjour satisfaite service apport plus deux mois reponse concernant formation relances mails sans retour conseils donn unitiles tr bien re ue pu obtenir toutes r ponses questions part conseill re a pris temps essayer trouver solutions adapt situation super jeune veste bleu tr bien re u accompagn marche toujours tr bien re u personnel p emploi saint luce impossible joindre promet payements arrive service phonique automatis plorable viter tout prix premi re fois mets pieds ici plus minutes retard a promet accueil personnel incompetents
"1 All. des Fabricants, 59150 Wattrelos",suivi distance accompagnement a simplement parfait rdv obtenus rapidement conseill re coute fait maximum aider formation obtenue dire plus part remercier encore fois aide apport e fuir conseill re fant inexistante incomp tente mme delahaye soi disant accompagner cr ation entreprise entreprise encore ouvert presque ferm encore merci madame delahaye venez faire ch meur professionnel mails restent sans r ponse jamais rendez donner ans celle wattrelos connais conseill re dossier car jamais vu permet appeler menacer car refuser faire r union recrutement sachant chercher faire formation fuir toute urgence beaucoup probl conseill re convenait revanche toiles entretien responsable conseill res car a parfaite r pondu questions elles r ponse depuis mois merci vraiment rendue place r sultat demandes trait client conseill re tout coute refuse prise rdv chaque demande fais jamais accept nul service rapide personnel aimable seule bemole travail h a h donc quand a document compte compliqu venir imprimer sers a rien car ya toujour anomalie arrive a lire document vrai catastrophe p emplois disant conseillers a cot pl suivent dossiers car perdent retrouve hazard si envois courrier recommander ps obliger mettre toile pouvoir publier commentaire accueil soigner bonne prise charge demandes tr bien p emploi wattrelos subventionnne comme autre fin esp re lol structures formations sans savoir passe condition salle cour ect suivie suite quand faite recours administratif conditions formation envoie recours port fluvial comme conseill re a dit sugg re nouvelle port fluvial p emploi a conseill re contacte disant courrier bien parvenu sachant crit subventionnaire dire p emploi ensuite tout encha nent plus nouvelles conseill re apart envoie huissier justice trop per u sachant signaler tait plus formation attaque demandeurs emploi justice manque comp tences conseillers remonte infos leurs salaires contente cela sans savoir demandeur emploi pr carit voil encore dire pr f re aller voir diteur crire livre lol p emploi a trouver emploi donnant donnant bien r ramener cv parcours sortant rien pense sans ch meurs p emploi encore moins conseillers incomp tents bon ch meur payer cons quences leurs faute sacher clar cela imp ts aujourd hui r clame rigole sachez aussi vers plus millions erreur doit pense aussi autre solidarit plus centaine euros huissier merci p emploi retrouver encore pr carit tire chapeau sol points virgule bien cordialement organisme officiel demandeurs emploi seulement pos quelqu peux donc dire plus renseignements accueil courtois inadmissible appelle depuis lundi jamais personnes tr long attente
"1 Av. Maréchal-Juin, 38800 Le Pont-de-Claix",conseiller tout pr sent envoie bouler demandant prendre rendez si voulez trouver travail compter demande bien quoi servent pire pole emploi tout simplement regroupement personnes travaillent contre toutes excuses bonne arriver a seul objectif gager gloire statistiques dicte dommage pouvoir mettre z ro synonyme inutilit devez obligatoirement accepter travailles sous peine radiation r taux ch mage baisse tel pratique personnels fait minimum conseil comptez trouvez boulot horrible autres mots accueil sympathique conseill re sagr able coute regarde pieds prend absolument demandes compte travaillant genre milieu faudrait peu tre humain changer tier tres bon accueil part cevaet mr khalid personnes humaines a ecoute connaissent tres bien sujet merci accueil csp horrible conseille fortement pole emploi aillant projet dit personne croit projet faut mieux prendre travail pif gagner vie battre projet aucune competence aucune aide part franchement conseille fortement a pole emploi reformer conseiller vraiment tr bien seul probl font passer trangers avant fran ais accueil attitude employ laisse franchement sirer certains tr sagr ables tr bien
"1 Bd du Général Delambre, 95870 Bezons",concerne situation conseiller top tr r actif courriels donne bon conseil pu retrouver activit tr rapidement merci bonjour venu r inscription hier ensuite aller a accueil conseili re sagr able prendre rendez service ind misation a parler fa forte voie appr cier convoque reunion trois heures interdit acces wc meme quand etes handicap dit aller caf bas faire besoin sans commentaire tout professionnel choquer si pouvais mettre moins fait incapables tr bien travaill incabaple
"1 Bis Av. Salvador Allende, 69120 Vaulx-en-Velin",rejoins commentaire pr dent efficace rappeler tripes per u ans pire aucune communication mise place pouvoir r pondre alors r gulariser situation autre histoire sans parler mails demande rdv conseillers sans r ponse r ponses tardive inutile jamais vu tr efficace mander per u revanche inefficace accompagner recherche emploi somme service public inutile juste traquer ch meurs voudrais remercier infiniment toute quipe agence gentillesse aide renseignements fais parti personne conna informatique a di inqui tez aider re u mercredi conseiller si adorable ecoute op rationnel merci tte equipe mr accueil incomp tent tier non seulement parle mal agressif service catastrophique si toile tait possible mis foutent conseill res top ainsi service civique merci beaucoup tre op rationnel mari faut donne moins cinq toiles a cette agence association malfaiteurs vit subventions tat cherche seulement radier chomeurs stup fiants imconpetence apog e satisfaite er entretien
"1 Imp. René Couzinet, 31500 Toulouse",si pu mettre toile p emploi plaine fait apr inscription aucune info fait inscrit plus grave soir lais tout avoir rendez cela a mis plus mois plus mission locale demande papier p emploi apparemment peut modifier a bloqu dossier pendant mois imaginez aucun revenu fait burn out an dernier si recommence travailler cela risque tre compliqu psychologiquement droit allocation juste a cause lenteur administrative incapacit conseill re a bloquer situation aucune rentr e argent pendant mois enfin conseill re a jugeante infantilisante a coute cas stigmatisante acceptant personne puisse avoir vision diff rente monde travail a aucunement aid projet reconversion professionnelle tais auparavant suivi a villeneuve lot o suivi tait top vite chant oblig mettre toile si non zero toile personnes incomp tente agents cident place cident traiter dossier a leurs mani res final disent trop tard leurs r glements r glements con inadmissible a fuir refus net afficher communication formation financ e r gion demandeurs emploi motif faire publicit organisme formation mac do a droit a feuilles a car agit emploi fan p emploi pensionnaire depuis plusieurs ann service impressionnant parfaite r ussite recherche emploi quipe di e relance conomique france depuis plus ans r solvez tous probl sans r solvez a fonctionne franchement conseille fortement perdre emploi devenir membre plus grande entreprise france quipe p emploi trouvera jamais rien trouv bien essentiel apr plusieurs changes aupr service technique cette agence indiquant proc dure suivre clarer heures non r mun r cr ation entreprise annonce jamais faire a clar tort rajoutons cela infantilisant mise index commentaires valorisants insistants bien fait travaille quand bien situation cr ateur entreprise connue conseill re particuli re si changes conseill re particuli re roulent bien ceux service technique prouvants bien trop vites exp di prendre compte situations attentes demandeurs demandeuses emploi rythme travail agents cette agence justifie tout suivi aupr personnes situation licate cessite soin coute r ponses claires non contradictoires encore plus contexte crise g ralis extr mement u accompagnement devrait tre service public premier ordre a conseill re connait site glassdoor sait cpf maintenant ouvert agents fonction publique fait ateliers pr senter service formation apr a conseill re super concern e envoie fois mails dehors heures ouverture p emploi empathie comp tente reconna limites p emploi essaie quand aider donc tr grand merci toutes autres changez tier impliquez si pouvez obtenir adresse o pendrez cette agence faites aucune consid ration demandeur emploi plusieurs mois inscrit toujours vu conseill re r pond chement chaque change email tiens pr ciser affaire autres agences region toulousaine taient bien plus affables accueillants incomp tence a gal pris propre tier voit plupart entre font vocation conseillers inefficace foutiste aucune aide leurs pars message automatique envoyer mail aucune r ponse questions accompagnement formation autre mediocre conseillers veulent aider manque grandement humanisme bonjour oui trop mal situ plus disais bus fond prendre donc coup loup rdv pay tickets bus plus alors dis merci pole emploi donne rdv peine appeler dire annuler premi re fois coucou jeremerci atouts
"1 Imp. des Granges, 28110 Lucé",impossible avoir personne physique phone apr plusieurs essais tonn avis diocres fonctionnement merci donner explications nettes pr cises refus documents site internet devins accueil r actif souriant bonne prise charge demandes trait rappel phonique quelques fois r ponses mail rapide explications bienveillantes agence plut bien organis e catastrophe csp depuis but avril radi jour lendemain alors jour leurs locaux employ pe a indiqu soucis dossier p emploi suite courrier re u matin indiquant allais tre radi e disant tais manifest e alors re u lrar er juin envoy e mai suite courrier mai si rattach agence bon courage allez passer plus temps battre faire valoir droits pouvoir chercher travail plus allez devoir payer frais placement lettres recommand retrouver sans rien apr licenciement conomique quand maman libataire juste enfer merci p emploi tr bonne r ception toutes quipe tr sympathique al coute bonne prise charge personnelle r pond questions prise charge rapide conseiller aidant demandeurs emploi bon accueil coute
"1 Parvis Berthelot, 59510 Hem",jamais disponibles tr sagr able niveau accueil conseillers cette agence font tourner gens rond apportant chaque fois r ponses diff rentes fausses service indemnisation diocre plus mois tre indemnis venu agence sesp r car besoin document important conseill res ch affaire elles fait leurs travail jusqu bout deux femmes accueil responsable vraiment merci infiniment professionnalisme gentillesse tr accueillant disponible information fournie faux tr contente partir apr avoir rencontr dame curit sociale semaine apr rendue compte rien a chang compte informations dame a fourni faux aujourd hui mois apr cong maternit toujours re u salaire tait tr bien accueilli aima a aid pendant plusieurs heures a orient a tait rieuse rigoureuse bravo aima aimerais arr r ponses toute fait arr lire traitement texte plus humain aussi robotique appeler fois dire va rappeler ca fait jours attends rappelle r p toujours va rappeler merci professionnalisme quipe top accueil explications r ponses interrogations probl matiques recommande dommage toutes antennes ainsi bravo toute quipe bonne quipe disponible repond toutes question meme si fait parti cette agence amabilite note probleme expose resolu note recommande pole emploi hem equipe disponible professionnelle manque heures ouverture fermeture
