date,rate,review_text,object_address,review_num
2 months ago,1,"Pas de formation possible
Pas de financement possible
refus sur refus de parcours
Et rendez vous régulier inutile.
Dire que soit disant on est la pour Aider les chômeurs a être réactif.
Absurde !","5 Rue de Quimper, 68100 Mulhouse",32
a month ago,1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre et de faire tourner en rond. Pourtant tout les document son fourni.","5 Rue de Quimper, 68100 Mulhouse",32
4 months ago,1,"Les fonctionnaires incompétents, arrogants et prétentieux, ils ont transformé pôle emploi comme un bunker, traitant les pauvres chômeurs comme des citoyens de cinquième classe, nous obligeant à mendier nos droits.","5 Rue de Quimper, 68100 Mulhouse",32
9 months ago,1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre. Un air hautain et discriminant. Je ne souhaite pas à ses personnes de rencontrer quelconque soucis de la vie, à moins qu’ils en accumulent tellement que c’est leur façon de se venger de leur vies médiocres, ennuyeuses, déprimantes.","5 Rue de Quimper, 68100 Mulhouse",32
9 months ago,1,"Si je pouvais ne pas mettre d'étoiles je n'en mettrais pas, conseillère des indemnisations hyper désagréable. Des que j'ai décroché le téléphone elle a été agressive avec un air agacé. J'ai voulu qu'elle me rappel pour avoir des info en plus de notre échange par mail. Elle a été méprisante je cite : ""mais je vous l'ai écris par mail, qu'est ce que vous ne comprenez pas?""  ce permet de juger les gens et de faire des commentaires du genre ""il y a une chose a faire dans le mois je ne comprends pas comment les gens peuvent encore se tromper"". Elle n'est pas du tout professionnel. Quand je lui ai fais la remarque sur le fait qu'elle avait l'air énervé, elle a voulu raccrocher. La conseillère en question s'appelle Fabienne. Si vous ne n'aimez pas aider les gens ou répondre à leur question quite a vous répéter ne travailler pas le social. Merci","5 Rue de Quimper, 68100 Mulhouse",32
2 years ago,1,Une conseillère carrément hautaine au téléphone je faisais les démarches pour mon conjoint et celle-ci se permet de me parler d'une façon plus que méprisable cela donne vraiment envie de téléphoner.,"5 Rue de Quimper, 68100 Mulhouse",32
a year ago,4,Toujours très bien reçu surtout celle avec les cheveux violet 😁 …,"5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,5,"Bonjour,
En bref, le personnel fait son travail, il répond au questions,trouve des solutions aux problèmes
Ils sont sincèrement impliqués.
Donc,rien à dire!!!","5 Rue de Quimper, 68100 Mulhouse",32
9 months ago,1,Les travailleurs sous-scolarisés ont un fouillis de documents.,"5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,4,"Tout le monde est top (agents comme public), le moins c'est l'ascenseur qui ne marche pas.","5 Rue de Quimper, 68100 Mulhouse",32
2 years ago,1,Mauvaise expérience avec cette établissement. Et plus en général avec pôle emploi.,"5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,1,On a un rendez-vous mais on doit attendre encore 40 minutes ses inaccessible .!,"5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,1,"Bonjour, en ce moment il n'y a pas de Pôle emploi dans cette région","5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,5,Nouveau bâtiment avec de la place sur le parking a 5 min des arrets de tram,"5 Rue de Quimper, 68100 Mulhouse",32
5 years ago,1,Cette agence a été déplacée rue de Quimper.,"5 Rue de Quimper, 68100 Mulhouse",32
3 years ago,5,Ma Future 2eme maison,"5 Rue de Quimper, 68100 Mulhouse",32
a year ago,5,Beautiful,"5 Rue de Quimper, 68100 Mulhouse",32
a year ago,5,Super,"5 Rue de Quimper, 68100 Mulhouse",32
2 years ago,5,La service parfait.,"5 Rue de Quimper, 68100 Mulhouse",32
3 years ago,5,,"5 Rue de Quimper, 68100 Mulhouse",32
