Document;Topic;Name;Top_n_words;Probability;Representative_document
bien cheveux violet;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.8162238228407047;False
bonjour bref personnel travail question solution problème rien;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
monde agent public ascenseur;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
bâtiment place parking min arret;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.5029208011339311;False
future 2eme maison;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.6861728784284276;False
beautiful;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
nan;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.1947253423642564;False
service;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
lieu agréable hôtesse hôte accueil disponible serviable espace grand open space forcément agréable entendre personnel compétent matin midi inutile rendez-vous;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.6542319434627313;False
grand aide conseillé matthieu porcheron agréable compréhensif;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
établissement beaucoup espace malheureusement travail actuel difficile place parking gratuit centre commercial champ mars proximité place;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.9783465679143403;False
dommage parking proximité uniquement rue souterrain bizarre maison emploi partout intérieur clair propre matin accès libre après-midi rendez rendez-vous info csp bien compétent;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.614759319653512;False
bon accueil écoute aide agréablement surprise;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.7394876524034942;False
nan;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.4263987317541888;False
bon accueil bon service. conseiller écoute question précieux conseil beaucoup conseiller équipe pôle emploi;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
bonjour avis négatif perso bien conseiller conseil utile financement formation mme coulibaly conseil utile;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
accueil irréprochable conseiller écoute;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
tomber serviable chose contre place stationnement;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
actuellementj actuellement droitstu;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
accueil bien sympa hâte;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.18431462966022202;False
équipe serviable sympathique écoute;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
agréable;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
matin suite rendez-vous bâtiment bon état extrêmement bien min queue problème minute ravi bayonne dispose pôle emploi digne nom;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
rendez agréable heure conseiller clair aimable efficace remercie;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
comprend avis négatif oui pôle emploi après-midi conseiller rendez sert matin libre accès personnellement jamais tomber conseiller brasser vent job proactif recherche emploi rien sens initiative jamais problème privilégiez ebl boite job outil recherche emploi;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
... notion relatif propre jugement ... job rémunérateur conscience ... courage conseiller ...;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
réactif mail prise rendez-vous conseil écoute soutien projet;1;1_réactif_écoute_personnel_conseiller;réactif - écoute - personnel - conseiller - bon - accueil - conseil - disponible - top - agent;0.9762379283586554;False
the very responsiv;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
por vote;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
personnel compétent écoute bienveillant travail auprès communauté bravo pôle corbeil essonne;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.7490101131544028;False
énormément françois temps solution problème 3mois relance réclamation auprès conseillé succès bon beaucoup professionnalisme;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
dépôt document beaucoup convocation;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
bon entretien conseiller monsieur mercier écoute arrangeant;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
expérience traumatisant agence chose bien bon agent voie adéquat;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.7273401132646641;False
atelier instruir recherche emploi génial;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
contact conseiller pôle emploi corbeille essonn;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
service public bien;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.6890986131254442;False
bon conseiller bon organisation;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.989650940292632;False
bien lundi 12h pôle conseiller bien;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.5183123096903018;False
adresse pôle emploi rue 76500 elbeuf;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.7706509531461668;False
peur;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
jour plaisir pole téléphone pourtant mois agence charmant téléphone conseiller relais adorable humain bienveillante écoute bien loin mauvais cliché organisme vraiment suivie grand;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
equipe professionnel ecoute disponible client;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.5545659732093833;False
accueil bel volonté conseiller motiver investi;-1;-1_conseiller_emploi_accueil_bon;conseiller - emploi - accueil - bon - bien - pôle - écoute - rendez - agréable - personnel;0.0;False
bonjour situation compliqué travail plomberie sanitaire pvc espoir chance jour rein.merci intention dame Monsieur;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.8021817643774399;False
job;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
bon agence beaucoup humanisme;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;1.0;False
bon accueil bon conseil efficace;0;0_bon_bien_accueil_personnel;bon - bien - accueil - personnel - agence - conseiller - emploi - pôle - écoute - service;0.08288663131436794;False
