,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,formation financement refus refus parcours inutile chômeur réactif absurde,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9543703904266072,False
1,aucun respect pourtant bien souci faire rond pourtant document fourni,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
2,fonctionnaire incompétent arrogant prétentieux pôle bunker pauvre chômeur citoyen classe droit,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
3,aucun respect pourtant bien souci air hautain discriminant souci vie accumuler vie médiocre ennuyeuse déprimante,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
4,étoile mettrai conseiller indemnisation désagréable téléphone air agacer rappel info échange mail mail commentaire genre chose mois comprend professionnel luire remarque air conseiller question fabien question quite social,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
5,conseiller hautain téléphone démarche conjoint méprisable celer vraiment envie,-1,-1_emploi_conseiller_pôle_rien,emploi - conseiller - pôle - rien - aucun - rendez - agence - bien - mois - travail,0.0,False
6,travailleur fouillis document,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.8392250935672944,False
7,mauvais expérience établissement général pôle emploi,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.6636899100152748,False
8,rendez-vous minute inaccessible,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.9666179123256133,False
9,bonjour moment pôle région,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,0.6981516572073206,False
10,agence rue,0,0_conseiller_emploi_rien_pôle,conseiller - emploi - rien - pôle - aucun - rendez - jamais - vous - agence - travail,1.0,False
