rate,review_text,object_address,cleaned_text,sentiment,top_negative_words,top_positive_words
5,"Personnel accueillant et efficace : tout orientant les visiteurs, la personne de l'accueil a pu : -m'aider à débloquer mon inscription, -me prêter un ordinateur pour imprimer -me guider pour compléter mon dossier Ceci avec beaucoup de patience et le sourire.  Merci","4 Av. Carnot, 69250 Neuville-sur-Saône",personnel efficace visiteur accueil inscription -me ordinateur -me dossier beaucoup patience sourir,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,"Complètement pourri avec des personnes très désagréables, on a l'impression d'ennuyer la personne qui nous réponds cela fait 3 fois que j'appelle et je ne me plains pas du temps d'attente mais de l'accueil !","6 Rue du Muguet, 25000 Besançon",complètement désagréable impression répond celer fois temps attente accueil,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Je  suis très satisfaite très bonne  accueille les personnes qui travaillent sont vraiment compétente et ce démènent pour vous aider dans vos démarches et répondent a vos questions avec précisions  MME BELAUD CATHERINE,"Rue George Brassens, 56800 Ploërmel",bon vraiment compétent démènent démarche question précision mme belaud catherin,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,On ne sait pas pourquoi il existe?,"5 Bis Av. Anselme Arrieu, 31800 Saint-Gaudens",,0,"aide, étoile, question, droit, conseiller, boulot, entreprise, réouverture, rien, beaucoup, formulaire, contre, réactif, bienveillance, jamais, pologne, rapidement, france, fois, respect, change, chalent, attente, fai, professionnel, souhaitable, rendez, saint, humain, miracle, pôle, sou, personn, fort, téléphonique, justement, savoir, efficace, public, faure, photocopie, téléphone, matin, malheureusement, désagréable, rideau, travail, impossible, file, parcequ, possession, accueil, démarche, emploi, accès, clairement, personnel, monde, bien, bonheur, libre, sympa, lourd, habitude, rappeler, nez, interminable, chance, ell, actualisation, queu, faudrai, évidement, souriant, compétent, non, gaur, dame, oui, aid, agréable, correctement, motif, offre, durée, patienc, facile, close, bon, besoin, ailleurs, gentil, revanche, réponse, mme, mal, luc, tomber, correct, entendeur, écoute, monsieur, mail, dommage",
1,"Il semblerai que pole emploi soit en vacance plus tôt que prévu !? Ce jour (jeudi 17 octobre) j'ai trouvé porte close (rideau tiré) pendant les horaires de libre accès sans autre motif annoncé. Une réouverture est-elle prévu, si oui quand ? Pour une entreprise de service publique il serait bien de proposer une information claire et facile d'accès ! Les devoirs sont dans les 2 sens, à bon entendeur.","10 Rue de Chypre, 44200 Nantes",pole vacance tôt jour jeudi octobre porte close rideau tirer horaire libre accès motif annoncer réouverture est-ell entreprise service public bien information clair facile accès devoir sens bon entendeur,0,"aide, étoile, question, droit, conseiller, boulot, entreprise, réouverture, rien, beaucoup, formulaire, contre, réactif, bienveillance, jamais, pologne, rapidement, france, fois, respect, change, chalent, attente, fai, professionnel, souhaitable, rendez, saint, humain, miracle, pôle, sou, personn, fort, téléphonique, justement, savoir, efficace, public, faure, photocopie, téléphone, matin, malheureusement, désagréable, rideau, travail, impossible, file, parcequ, possession, accueil, démarche, emploi, accès, clairement, personnel, monde, bien, bonheur, libre, sympa, lourd, habitude, rappeler, nez, interminable, chance, ell, actualisation, queu, faudrai, évidement, souriant, compétent, non, gaur, dame, oui, aid, agréable, correctement, motif, offre, durée, patienc, facile, close, bon, besoin, ailleurs, gentil, revanche, réponse, mme, mal, luc, tomber, correct, entendeur, écoute, monsieur, mail, dommage",
5,J'ai peur.,"39 Rue Poussin, 76500 Elbeuf",peur,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Facile d'accès parking bus pas loin,"825 Rue Raoul Briquet, 62700 Bruay-la-Buissière",facile accès parking bus loin,1,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
2,Lieu public très sécurisé même un peu trop. Entretien réalisé porte ouverte c est dommage pour la confidentialité. Il faut donner une pièce d identité pour utiliser les w.c. Sinon entretien bien déroulé. Conseillère compétente.,"1 Rue Kristen Noguès, 56300 Pontivy",lieu public trop entretien dommage confidentialité pièce identité w.c entretien bien conseiller compétent,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
1,Numéro de téléphone qui ne fonctionne sûrement pas. Impossible à joindre.,"15 Rue de Saclas, 91150 Étampes",numéro téléphone sûrement impossible joindre,0,,"aide, étoile, question, droit, conseiller, entreprise, presque, rien, beaucoup, contre, formulaire, réactif, vraiment, bienveillance, jamais, jour, rapidement, agence, fois, respect, temps, attente, fai, professionnel, attention, porte, rendez, humain, information, clair, pôle, sou, petit, savoir, efficace, public, luire, faure, téléphone, matin, demande, pole, désagréable, dossier, travail, impossible, file, octobre, accueil, démarche, emploi, accès, personnel, monde, bien, sympa, inadmissible, habitude, interminable, nez, ell, horaire, tôt, faudrai, évidement, compétent, non, dame, oui, agréable, durée, facile, bon, besoin, service, réponse, mme, mal, énormément, entendeur, écoute, devoir, mail, rement, monsieur, dommage"
5,Très réactifs,"2 Av. Anatole France, 87200 Saint-Junien",réactif,1,"aide, étoile, question, droit, conseiller, boulot, entreprise, réouverture, rien, beaucoup, formulaire, contre, réactif, bienveillance, jamais, pologne, rapidement, france, fois, respect, change, chalent, attente, fai, professionnel, souhaitable, rendez, saint, humain, miracle, pôle, sou, personn, fort, téléphonique, justement, savoir, efficace, public, faure, photocopie, téléphone, matin, malheureusement, désagréable, rideau, travail, impossible, file, parcequ, possession, accueil, démarche, emploi, accès, clairement, personnel, monde, bien, bonheur, libre, sympa, lourd, habitude, rappeler, nez, interminable, chance, ell, actualisation, queu, faudrai, évidement, souriant, compétent, non, gaur, dame, oui, aid, agréable, correctement, motif, offre, durée, patienc, facile, close, bon, besoin, ailleurs, gentil, revanche, réponse, mme, mal, luc, tomber, correct, entendeur, écoute, monsieur, mail, dommage",
